,year,month,temperature
78346,1935,1,25.514000000000006
78347,1935,2,25.345
78348,1935,3,25.6
78349,1935,4,24.29
78350,1935,5,23.544
78351,1935,6,23.809
78352,1935,7,23.616
78353,1935,8,24.162
78354,1935,9,25.062
78355,1935,10,25.822000000000006
78356,1935,11,25.644
78357,1935,12,25.829
78358,1936,1,25.31600000000001
78359,1936,2,25.357000000000006
78360,1936,3,25.609
78361,1936,4,24.965
78362,1936,5,24.986
78363,1936,6,23.948
78364,1936,7,23.407
78365,1936,8,24.023000000000003
78366,1936,9,25.558000000000003
78367,1936,10,26.06900000000001
78368,1936,11,25.901
78369,1936,12,25.594
78370,1937,1,25.581000000000003
78371,1937,2,25.801
78372,1937,3,25.627
78373,1937,4,24.522
78374,1937,5,23.729
78375,1937,6,23.857000000000006
78376,1937,7,23.669
78377,1937,8,25.164
78378,1937,9,25.552
78379,1937,10,25.405
78380,1937,11,26.158
78381,1937,12,25.538
78382,1938,1,25.608
78383,1938,2,25.89
78384,1938,3,25.372
78385,1938,4,24.493
78386,1938,5,24.209
78387,1938,6,23.59800000000001
78388,1938,7,23.562
78389,1938,8,24.186
78390,1938,9,25.479
78391,1938,10,25.193
78392,1938,11,25.604
78393,1938,12,25.295
78394,1939,1,25.527
78395,1939,2,25.168000000000006
78396,1939,3,25.497
78397,1939,4,24.742
78398,1939,5,24.838
78399,1939,6,24.041
78400,1939,7,22.923
78401,1939,8,24.297
78402,1939,9,25.023000000000003
78403,1939,10,25.581
78404,1939,11,25.852
78405,1939,12,25.67
78406,1940,1,25.425
78407,1940,2,25.786
78408,1940,3,25.588
78409,1940,4,25.062
78410,1940,5,24.795
78411,1940,6,23.886000000000006
78412,1940,7,24.227
78413,1940,8,24.382
78414,1940,9,25.2
78415,1940,10,25.532
78416,1940,11,25.382
78417,1940,12,26.103
78418,1941,1,25.921000000000006
78419,1941,2,26.017000000000003
78420,1941,3,25.679
78421,1941,4,25.806
78422,1941,5,24.667
78423,1941,6,23.379
78424,1941,7,23.862
78425,1941,8,25.12
78426,1941,9,24.434
78427,1941,10,25.757
78428,1941,11,25.872
78429,1941,12,25.841
78430,1942,1,26.19400000000001
78431,1942,2,25.729000000000006
78432,1942,3,25.815
78433,1942,4,25.094
78434,1942,5,24.163
78435,1942,6,22.91
78436,1942,7,22.262
78437,1942,8,24.49
78438,1942,9,25.57
78439,1942,10,25.281
78440,1942,11,25.823
78441,1942,12,25.218000000000004
78442,1943,1,25.308000000000003
78443,1943,2,25.391
78444,1943,3,25.029
78445,1943,4,24.111
78446,1943,5,24.209
78447,1943,6,23.58
78448,1943,7,23.25
78449,1943,8,23.209
78450,1943,9,24.67
